None but ourselves can free our minds.|Bob Marley||
Life becomes easier and more beautiful when we can see the good in other people.|Roy T. Bennett||
Do what is right, not what is easy nor what is popular.|Roy T. Bennett|The Light in the Heart|
People say nothing is impossible, but I do nothing every day.|A.A. Milne|Winnie-the-Pooh|
Pursue what catches your heart, not what catches your eyes.|Roy T. Bennett|The Light in the Heart|
Pain is temporary. Quitting lasts forever.|Lance Armstrong Sally Jenkins|Every Second Counts|
It's kind of fun to do the impossible.|Walt Disney||
You never fail until you stop trying.|Albert Einstein||
Make improvements, not excuses. Seek respect, not attention.|Roy T. Bennett|The Light in the Heart|
Start each day with a positive thought and a grateful heart.|Roy T. Bennett|The Light in the Heart|
Those who do not weep, do not see.|Victor Hugo|Les Misérables|
Swords can win territories but not hearts, forces can bend heads but not minds.|Mirza Tahir Ahmad||
There is a way to be good again...|Khaled Hosseini|The Kite Runner|
Music melts all the separate parts of our bodies together.|Anais Nin||
Nothing great was ever achieved without enthusiasm.|Ralph Waldo Emerson||
Once we accept our limits, we go beyond them.|Albert Einstein||
Luck is what happens when preparation meets opportunity.|Seneca||
Not being heard is no reason for silence.|Hugo, Victor|Les Misérables|
I am not a teacher, but an awakener.|Robert Frost||
We don't make mistakes, just happy little accidents.|Bob Ross||
Write it on your heart that every day is the best day in the year.|Ralph Waldo Emerson||
My only advice is to stay aware, listen carefully, and yell for help if you need it.|Judy Blume||
Where there is ruin, there is hope for a treasure.|Rumi||
Happiness depends on your mindset and attitude.|Roy T. Bennett|The Light in the Heart|
Men are from Earth, women are from Earth. Deal with it.|George Carlin||
If you make a mistake and do not correct it, this is called a mistake.|Confucius||
Because paper has more patience than people.|Anne Frank||
Just because you can doesn't mean you should.|Sherrilyn Kenyon||
Happiness [is] only real when shared|Jon Krakauer|Into the Wild|
The past has no power over the present moment.|Eckhart Tolle||
‎Life is a shipwreck, but we must not forget to sing in the lifeboats.|Voltaire||
He is half of my soul, as the poets say.|Madeline Miller|The Song of Achilles|
Do not fear failure but rather fear not trying.|Roy T. Bennett|The Light in the Heart|
A ship is safe in harbor, but that's not what ships are for.|John A. Shedd||
The most common way people give up their power is by thinking they don't have any.|Alice Walker||
Better to be strong than pretty and useless.|Lilith Saintcrow|Strange Angels|
When people don't express themselves, they die one piece at a time.|Laurie Halse Anderson|Speak|
Maybe everyone can live beyond what they're capable of.|Markus Zusak|I Am the Messenger|
Even if you are on the right track, you’ll get run over if you just sit there.|Will Rogers||
One love, one heart, one destiny.|Robert Marley||
If you are irritated by every rub, how will your mirror be polished?|Rumi||
You were born with wings, why prefer to crawl through life?|Rumi||
You is kind. You is smart. You is important.|Kathryn Stockett|The Help|
Be thankful for everything that happens in your life; it’s all an experience.|Roy T. Bennett||
Tears are words that need to be written.|Paulo Coelho||
You are not rich until you have a rich heart.|Roy T. Bennett|The Light in the Heart|
I'd rather be hated for who I am, than loved for who I am not.|Kurt Cobain||
If you want to be happy, be.|Tolstoy Leo||
If we have no peace, it is because we have forgotten that we belong to each other.|Mother Teresa||
Imagination is everything. It is the preview of life's coming attractions.|Albert Einstein||
I am a part of all that I have met.|Alfred Tennyson|The Complete Poetical Works of Tennyson|
I figured something out. The future is unpredictable.|John Green|An Abundance of Katherines|
Do no harm and leave the world a better place than you found it.|Patricia Cornwell||
Earth provides enough to satisfy every man's needs, but not every man's greed.|Mahatma Gandhi||
I have never met a man so ignorant that I couldn't learn something from him.|Galileo Galilei||
May the forces of evil become confused on the way to your house.|George Carlin||
The worst part of success is trying to find someone who is happy for you.|Bette Midler||
It does not matter how slowly you go as long as you do not stop.|Confucius||
There was another life that I might have had, but I am having this one.|Kazuo Ishiguro||
What's the good of living if you don't try a few things?|Charles M. Schulz||
Go on with what your heart tells you, or you will lose all.|Rick Riordan|The Lightning Thief|
Kindness is a language which the deaf can hear and the blind can see.|Mark Twain||
Even strength must bow to wisdom sometimes.|Rick Riordan|The Lightning Thief|
If you think you are too small to make a difference, try sleeping with a mosquito.|Dalai Lama XIV||
Try a little harder to be a little better.|Gordon B. Hinckley||
To shine your brightest light is to be who you truly are.|Roy T. Bennett||
What do we live for, if it is not to make life less difficult for each other?|George Eliot||
Don't let the bastards grind you down.|Margaret Atwood|The Handmaid's Tale|
Our life is what our thoughts make it.|Marcus Aurelius|Meditations|
A goal without a plan is just a wish.|Antoine de Saint-Exupéry||
Any emotion, if it is sincere, is involuntary.|Mark Twain||
Those who bring sunshine to the lives of others cannot keep it from themselves.|J.M. Barrie||
Don't ever take a fence down until you know why it was put up.|Robert Frost||
Sometimes God allows what he hates to accomplish what he loves.|Joni Eareckson Tada|The God I Love|
Spoon feeding in the long run teaches us nothing but the shape of the spoon.|E.M. Forster||
Shoot for the moon, even if you fail, you'll land among the stars|Cecelia Ahern|P.S. I Love You|
Change the way you look at things and the things you look at change.|Wayne W. Dyer||
The best thing to hold onto in life is each other.|Audrey Hepburn||
why are trying so hard to fit in, when you're born to stand out|Oliver James||
He that can have patience can have what he will.|Benjamin Franklin||
Be yourself; everyone else is already taken.|Oscar Wilde||
Be the change that you wish to see in the world.|Mahatma Gandhi||
Live as if you were to die tomorrow. Learn as if you were to live forever.|Mahatma Gandhi||
We accept the love we think we deserve.|Stephen Chbosky|The Perks of Being a Wallflower|
Without music, life would be a mistake.|Friedrich Nietzsche|Twilight of the Idols|
I have not failed. I've just found 10,000 ways that won't work.|Thomas A. Edison||
It is never too late to be what you might have been.|George Eliot||
Everything you can imagine is real.|Pablo Picasso||
You can never get a cup of tea large enough or a book long enough to suit me.|C.S. Lewis||
Life isn't about finding yourself. Life is about creating yourself.|George Bernard Shaw||
Do what you can, with what you have, where you are.|Theodore Roosevelt||
The question is not what you look at, but what you see.|Henry David Thoreau||
Wanting to be someone else is a waste of the person you are.|Marilyn Monroe||
Trees that are slow to grow bear the best fruit.|Moliere||
Keep your face always toward the sunshine - and shadows will fall behind you.|Walt Whitman||
Shoot for the moon. Even if you miss, you'll land among the stars.|Norman Vincent Peale||
All thinking men are atheists.|Ernest Hemingway|A Farewell to Arms|
The desire to reach for the stars is ambitious. The desire to reach hearts is wise.|Maya Angelou||
Ask for what you want and be prepared to get it!|Maya Angelou||
Life has no remote....get up and change it yourself!|Mark A. Cooper|Operation Einstein|
Be the positive impact on the lives of others.|Roy T. Bennett||
Life is a gift. Don't forget to live it.|Nicola Yoon|Everything, Everything|
I don't paint dreams or nightmares, I paint my own reality.|Frida Kahlo||
Surround yourself only with people who are going to take you higher.|Oprah Winfrey||
Maktub" (It is written.)|Paulo Coelho|The Alchemist|
The greatest ideas are the simplest.|William Golding|Lord of the Flies|
Sometimes I think my head is so big because it is so full of dreams|R.J. Palacio|Wonder|
Envy is ignorance, Imitation is Suicide.|Ralph Waldo Emerson|Self-Reliance|
I must be willing to give up what I am in order to become what I will be.|Albert Einstein||
In the name of God, stop a moment, cease your work, look around you.|Leo Tolstoy||
To love and win is the best thing.To love and lose, the next best.|William Makepeace Thackeray||
You'll never find a rainbow if you're looking down|Charlie Chaplin||
Life sucks, and then you die...|Stephenie Meyer|Breaking Dawn|
The biggest adventure you can ever take is to live the life of your dreams.|Oprah Winfrey||
Wanting to be someone else is a waste of who you are|Kurt Cobain||
Travel far enough, you meet yourself.|David Mitchell|Cloud Atlas|
I never want to change so much that people can't recognize me.|Taylor Swift||
I never saw a wild thing sorry for itself|D.H. Lawrence||
the time is always right to do the right thing|Martin Luther King Jr.||
Until you step into the unknown, you don’t know what you’re made of.|Roy T. Bennett||
Hate looks like everybody else until it smiles|Tahereh Mafi||
All great achievements require time.|Maya Angelou||
Words save our lives, sometimes.|Neil Gaiman|The Ocean at the End of the Lane|
What you stay focused on will grow.|Roy T. Bennett||
Don’t wait for things to happen. Make them happen.|Roy T. Bennett||
Don't live down to expectations. Go out there and do something remarkable.|Wendy Wasserstein||
Let us always meet each other with smile, for the smile is the beginning of love.|Mother Teresa||
Nothing makes a person happier than having a happy heart.|Roy T. Bennett||
Dripping water hollows out stone, not through force but through persistence.|Ovid||
Art is the proper task of life.|Friedrich Nietzsche||
The universe is made of stories, not of atoms.|Muriel Rukeyser||
The most important decision you make is to be in a good mood.|Voltaire||
I've had a lot of worries in my life, most of which never happened.|Mark Twain||
Difficulties strengthen the mind, as labor does the body.|Lucius Annaeus Seneca||
Adapt what is useful, reject what is useless, and add what is specifically your own.|Bruce Lee||
All I can be is me- whoever that is.|Bob Dylan||
If you dont have any shadows you're not in the light|Lady Gaga||
In the end, you have to choose whether or not to trust someone.|Sophie Kinsella|Shopaholic & Baby|
To live is so startling it leaves little time for anything else.|Emily Dickinson||
Music is the literature of the heart; it commences where speech ends.|Alphonse de Lamartine||
Know thyself.|Socrates||
I postpone death by living, by suffering, by error, by risking, by giving, by losing.|anaïs nin||
When one has a grateful heart, life is so beautiful.|Roy T. Bennett|The Light in the Heart|
Bermimpilah, karena Tuhan akan memeluk mimpi-mimpi itu.|Andrea Hirata|Sang Pemimpi|
The arc of the moral universe is long, but it bends towards justice.|Theodore Parker||
Talent is helpful in writing, but guts are absolutely essential.|Jessamyn West||
Though the road's been rocky it sure feels good to me.|Bob Marley||
To the world you may be one person but to one person you may be the world.|Bill Wilson||
We are saved by faith alone, but the faith that saves is never alone.|Martin Luther||
The duty of youth is to challenge corruption.|Kurt Cobain||
Life begins on the other side of despair.|Jean-Paul Sartre||
Feet, what do I need them forIf I have wings to fly.|Frida Kahlo||
Instead of cursing the darkness, light a candle.|Ben Franklin||
I am always doing what I cannot do yet, in order to learn how to do it.|Vincent Van Gogh||
They laugh at me because I'm different; I laugh at them because they're all the same.|Kurt Cobain||
As is a tale, so is life: not how long it is, but how good it is, is what matters.|Seneca||
Think, Believe, Dream, and Dare.|Walt Disney||
If you don't know who you truly are, you'll never know what you really want.|Roy T. Bennett||
I am seeking, I am striving, I am in it with all my heart.|Vincent van Gogh||
You save yourself or you remain unsaved.|Alice Sebold||
Not knowing you can't do something, is sometimes all it takes to do it.|Ally Carter||
A smart person knows how to talk. A wise person knows when to be silent.|Roy T. Bennett||
Well done is better than well said.|Benjamin Franklin||
Write it. Shoot it. Publish it. Crochet it, sauté it, whatever. MAKE.|Joss Whedon||
Weekends don't count unless you spend them doing something completely pointless.|Bill Watterson||
The surest way to make your dreams come true is to live them.|Roy T. Bennett||
I do not care so much what I am to others as I care what I am to myself.|Michel de Montaigne||
The love that moves the sun and the other stars.|Elizabeth Gilbert||
Things do not change; we change.|henry david thoreau|Walden|
do not look for healingat the feet of thosewho broke you|Rupi Kaur|Milk and Honey|
A dream is a wish your heart makes, when you're fast asleep.|Walt Disney Company|Cinderella|
Only those who attempt the absurd can achieve the impossible.|Albert Einstein||
The dog is a gentleman; I hope to go to his heaven not man's.|Mark Twain||
Fake it 'till you make it.|Gayle Forman|If I Stay|
Only he who attempts the absurd is capable of achieving the impossible.|Miguel de Unamuno||
You are willing to die, you coward, but not to live.|Herman Hesse|Steppenwolf|
If you don’t give up on something you truly believe in, you will find a way.|Roy T. Bennett||
It's not enough to be nice in life. You've got to have nerve.|Georgia O'Keeffe||
What is now proved was once only imagined.|William Blake||
Remember tonight... for it is the beginning of always|Dante||
Keep your eyes on the stars, and your feet on the ground.|Theodore Roosevelt||
Life's great happiness is to be convinced we are loved.|Victor Hugo|Les Misérables|
You become what you think about all day long.|Ralph Waldo Emerson||
Try again. Fail again. Fail better.|Samuel Beckett||
You must find the place inside yourself where nothing is impossible.|Deepak Chopra||
The soul should always stand ajar, ready to welcome the ecstatic experience.|Emily Dickinson||
It is amazing what you can accomplish if you do not care who gets the credit.|Harry S. Truman||
Happiness cannot be pursued; it must ensue.|Viktor E. Frankl|Man's Search for Meaning|
Guard well your thoughts when alone and your words when accompanied.|Roy T. Bennett||
Never dull your shine for somebody else.|Tyra Banks||
No! Try not. Do, or do not. There is no try.|George Lucas|The Star Wars Trilogy|
younot wanting mewasthe beginning of mewanting myselfthank you|Nayyirah Waheed||
Oh, what a tangled web we weave...when first we practice to deceive.|Walter Scott|Marmion|
It's the children the world almost breaks who grow up to save it.|Frank Warren||
People say that eyes are windows to the soul.|Khaled Hosseini|The Kite Runner|
No act of kindness, no matter how small, is ever wasted.|Aesop||
We must live together as brothers or perish together as fools.|Martin Luther King Jr.||
Faith is the bird that feels the light and sings when the dawn is still dark.|Rabindranath Tagore||
To write well, express yourself like the common people, but think like a wise man.|Aristotle||
Done is better than perfect.|Sheryl Sandberg|Lean In: Women, Work, and the Will to Lead|
Do not dare not to dare.|C.S. Lewis|The Horse and His Boy|
Gratitude builds a bridge to abundance.|Roy T. Bennett|The Light in the Heart|
Stay hungry. Stay foolish.|Steve Jobs||
It is not a daily increase, but a daily decrease. Hack away at the inessentials.|Bruce Lee||
Instead of committing suicide, people go to work.|Thomas Bernhard|Correction|
The butterfly counts not months but moments, and has time enough.|Rabindranath Tagore||
Ruin is a gift. Ruin is the road to transformation.|Elizabeth Gilbert|Eat, Pray, Love|
So long as you fight the darkness, you stand in the light.|Sabaa Tahir|A Torch Against the Night|
Love is too precious to be ashamed of.|Laurell K. Hamilton|A Stroke of Midnight|
You were born to stand out, stop trying to fit in.|Roy T. Bennett|The Light in the Heart|
Reality is wrong. Dreams are for the real.|Tupac Shakur||
Nothing is permanent in this wicked world, not even our troubles.|Charlie Chaplin||
I sustain myself with the love of family.|Maya Angelou||
Amor Fati – “Love Your Fate”, which is in fact your life.|Friedrich Nietzsche||
Attitude is a little thing that makes a big difference.|Winston S. Churchill||
You must take life the way it comes at you and make the best of it.|Yann Martel|Life of Pi|
Great leaders create more leaders, not followers.|Roy T. Bennett|The Light in the Heart|
I am always doing that which I can not do, in order that I may learn how to do it.|Pablo Picasso||
Your sacred space is where you can find yourself over and over again.|Joseph Campbell||
You get in life what you have the courage to ask for.|Oprah Winfrey||
The way I see it, if you want the rainbow, you gotta put up with the rain!|Dolly Parton||
Re-examine all you have been told. Dismiss what insults your soul.|Walt Whitman||
I don't fit into any stereotypes. And I like myself that way.|C. JoyBell C.||
The only limits for tomorrow are the doubts we have today.|Pittacus Lore|The Power of Six|
Stop doing what is easy. Start doing what is right.|Roy T. Bennett|The Light in the Heart|
Just be yourself, there is no one better.|Taylor Swift||
Dream as if you will live forever; Live as if you will die today.|James  Dean||
Those who look for the bad in people will surely find it.|Abraham Lincoln||
There's so much to be grateful for, words are poor things.|Marilynne Robinson|Home|
Resentment is like drinking poison and then hoping it will kill your enemies.|Nelson Mandela||
Without fear there cannot be courage.|Christopher Paolini||
Man cannot discover new oceans unless he has the courage to lose sight of the shore.|Andre Gide||
Scar tissue is stronger than regular tissue. Realize the strength, move on.|Henry Rollins||
The windows of my soul I throwWide open to the sun.|John Greenleaf Whittier|Poetry|
I'd rather be a rising ape than a falling angel.|Terry Pratchett||
